x448,mlkem768,hqc192
2.78,2.44,53.77
2.78,2.87,52.22
2.92,2.86,51.67
2.68,2.89,54.6
2.93,2.62,64.77
2.87,2.46,60.26
2.95,2.32,54.53
2.69,2.2,53.41
2.96,2.14,52.92
2.81,2.15,58.88
2.83,1.99,55.6
3.16,2.43,51.4
2.87,2.37,53.49
2.98,2.3,53.68
2.82,2.12,56.31
2.95,2.02,53.2
3.0,2.12,52.99
3.07,2.3,60.8
3.22,2.08,50.77
2.76,2.11,51.14
2.75,2.59,61.16
3.44,2.39,55.42
3.02,2.15,53.58
2.83,2.62,53.64
2.92,2.25,53.04
2.85,2.35,50.59
2.92,2.23,51.36
3.16,2.35,50.63
2.85,2.26,51.32
3.12,2.19,52.11
2.9,2.36,50.99
2.84,2.19,50.93
3.02,2.19,50.28
2.92,2.16,51.54
3.02,2.14,54.16
2.79,2.11,52.76
3.0,2.23,50.89
2.58,2.15,51.73
2.91,2.29,51.34
3.24,2.28,53.01
2.76,2.01,50.95
2.81,2.28,50.57
2.76,2.17,53.94
2.5,2.15,51.87
2.53,2.36,50.98
2.73,2.41,51.73
2.94,2.46,51.59
2.78,2.34,52.22
2.77,2.14,56.16
2.73,2.37,55.4
3.44,2.13,51.46
2.62,2.21,51.28
2.99,2.83,50.6
2.94,2.4,50.92
2.87,3.08,51.22
2.71,2.15,50.73
2.81,2.98,51.82
3.27,2.32,51.29
2.66,2.08,51.77
3.01,2.14,51.3
2.82,2.38,51.51
2.83,2.17,50.76
2.81,2.34,50.88
2.78,2.36,52.64
2.74,2.48,51.36
2.63,2.43,52.07
2.68,2.1,52.39
2.71,2.05,51.65
3.03,2.15,51.96
2.8,2.35,51.34
2.96,2.24,50.67
3.17,2.23,50.58
3.31,2.35,50.36
3.04,2.17,50.38
2.87,2.53,50.56
3.15,2.28,50.39
3.1,2.18,63.05
2.77,2.23,51.51
2.74,2.32,52.56
2.7,2.81,51.14
2.6,2.3,51.28
2.71,2.2,51.79
2.68,2.23,51.57
3.02,2.64,65.52
2.9,2.17,53.98
3.05,2.21,52.1
2.98,2.34,51.65
2.77,2.12,51.13
3.03,2.3,50.9
2.92,2.47,50.87
2.75,2.43,51.43
2.75,2.52,53.0
2.73,2.37,65.21
2.95,3.01,51.51
3.37,2.24,51.2
2.91,2.37,51.25
2.84,2.29,51.74
4.0,2.17,50.95
2.9,2.22,50.1
2.95,2.12,51.42
3.03,2.34,51.55
2.92,2.1,50.38
2.94,2.13,51.35
2.8,2.41,50.78
2.99,2.12,64.79
3.16,2.15,52.2
2.94,2.72,53.16
3.21,2.3,51.83
3.01,2.06,51.28
2.82,2.29,50.95
3.53,2.15,51.31
3.02,2.12,51.21
2.64,2.16,51.0
2.86,2.37,52.37
3.59,2.71,52.33
3.72,3.15,51.28
2.86,2.19,58.6
2.97,2.92,51.46
2.77,2.24,52.69
3.42,2.15,53.15
2.96,2.11,51.86
2.86,2.27,50.7
2.96,2.61,51.43
2.75,2.34,51.96
3.23,2.35,53.32
2.72,2.13,54.01
3.34,2.44,50.34
4.23,2.61,51.12
