P-521,p521_mlkem1024,mlkem1024,p521_hqc256,hqc256
11.96,15.96,6.93,48.25,39.93
12.02,16.04,6.85,48.27,40.24
11.89,15.79,6.78,48.37,39.51
11.8,16.01,7.0,48.09,39.78
11.86,16.07,6.73,47.94,39.77
11.84,16.08,6.89,48.59,39.78
11.87,15.92,6.97,48.12,39.72
12.63,17.24,6.77,48.12,40.01
11.98,18.39,6.86,47.92,39.86
11.82,15.97,6.95,48.38,40.07
11.9,16.07,6.82,49.11,39.74
11.89,16.07,6.8,50.1,40.03
11.96,16.05,6.9,51.0,40.02
12.05,16.03,6.88,50.93,40.0
11.87,16.07,6.82,50.72,39.92
12.0,16.03,6.87,50.91,40.17
11.93,16.0,6.77,49.21,40.0
11.88,15.94,6.89,48.67,40.13
12.09,16.1,6.78,48.55,39.77
11.87,16.34,6.83,51.59,40.24
11.9,15.89,6.86,51.81,39.92
11.93,16.13,6.81,52.12,40.13
11.87,15.94,6.8,52.07,39.93
12.04,16.11,6.8,51.98,39.75
11.84,16.1,6.85,51.88,39.73
11.98,15.98,6.82,52.05,40.22
11.92,16.04,6.82,52.16,39.74
11.98,16.03,6.85,52.33,39.72
11.92,16.04,6.91,53.85,39.95
11.98,15.93,6.82,53.14,39.73
11.91,16.0,6.82,51.88,39.81
11.87,15.78,6.83,49.0,39.7
11.89,15.88,6.89,49.22,39.74
11.98,15.77,6.94,49.3,40.92
11.88,15.97,8.99,48.73,40.18
11.9,16.02,6.89,48.32,39.85
11.93,15.78,6.92,48.39,39.83
11.8,16.45,6.99,48.37,39.78
11.98,16.03,6.91,48.53,39.76
11.75,16.05,6.88,48.32,40.25
11.93,15.98,6.83,48.58,39.87
11.76,15.84,6.87,48.0,39.77
11.76,15.95,6.85,49.15,39.86
11.97,16.0,6.92,48.59,39.92
11.9,15.98,6.83,48.14,39.82
11.84,16.07,6.86,48.48,39.85
11.92,15.77,6.87,48.46,39.78
11.75,15.93,6.88,48.35,39.85
12.2,16.02,6.79,48.82,39.8
12.01,15.87,7.48,48.96,40.47
11.76,15.95,6.83,48.89,39.74
11.86,15.8,6.93,48.82,39.99
11.93,15.89,6.85,48.47,39.82
11.73,15.84,6.88,49.02,39.83
11.88,15.93,6.8,49.09,40.12
11.98,15.89,6.98,48.4,40.31
11.74,16.03,6.83,48.7,39.83
12.01,15.94,6.81,48.43,39.59
11.95,16.06,7.02,48.83,40.19
11.84,16.08,6.83,48.79,40.15
11.81,16.03,6.82,48.59,40.14
11.8,15.94,6.83,49.03,40.06
12.05,16.02,6.88,48.67,40.31
11.93,16.02,6.97,49.05,39.94
11.7,15.99,6.8,48.51,39.92
11.92,15.99,7.0,49.02,40.45
11.79,15.83,6.92,49.38,39.89
11.86,15.97,6.87,48.54,39.73
11.93,15.79,6.91,48.81,40.03
11.86,15.88,6.81,48.72,39.82
11.88,15.88,6.86,48.53,39.86
11.95,15.98,6.92,48.62,39.97
11.87,15.97,6.81,48.94,39.74
11.88,16.02,6.9,48.61,39.51
11.87,15.77,6.85,49.11,39.65
11.87,15.88,6.84,48.9,39.5
11.89,15.9,7.01,48.98,39.45
11.87,15.9,6.81,49.02,39.58
11.9,15.97,6.94,49.1,39.73
11.93,15.91,6.89,49.07,39.65
11.99,15.86,6.9,48.81,39.94
11.96,16.0,6.83,48.71,39.91
12.07,15.98,6.89,48.91,39.69
11.96,16.54,6.78,48.94,39.57
11.95,15.86,6.84,48.68,39.55
11.99,16.03,6.83,48.64,39.69
11.99,16.01,6.9,48.58,39.55
12.05,15.93,6.81,48.88,39.58
12.04,15.94,6.89,48.55,39.68
11.76,16.23,6.84,48.3,39.53
11.88,15.97,6.79,48.5,39.61
11.89,16.03,6.84,49.07,39.41
11.83,16.14,6.8,48.37,40.19
11.76,15.9,6.85,48.92,39.61
11.94,15.99,6.76,48.63,39.47
11.85,15.91,6.88,48.75,39.6
11.93,15.87,6.8,48.83,39.54
11.91,15.96,6.9,49.38,39.61
12.01,15.98,6.86,48.61,40.12
11.9,16.07,6.83,49.18,39.57
11.91,15.9,6.81,48.76,39.52
11.96,16.03,6.92,48.9,39.59
11.94,16.01,6.88,49.13,39.55
12.06,16.02,6.76,48.86,40.08
11.92,15.87,6.9,48.59,39.39
12.07,15.94,6.88,49.32,39.41
11.87,15.84,6.77,48.66,39.48
12.06,16.11,7.05,48.91,39.61
11.98,15.84,6.86,49.48,39.77
12.0,15.96,6.8,49.1,39.92
11.99,15.97,7.01,48.86,39.48
11.85,16.06,7.03,49.02,39.55
11.93,15.8,6.91,49.09,39.44
11.85,16.08,7.0,48.9,39.57
11.82,15.99,6.79,48.34,39.54
11.76,15.91,6.84,48.58,39.6
11.84,15.88,6.93,48.57,39.76
11.78,15.94,6.9,48.72,39.57
11.89,15.9,6.89,49.1,39.48
11.94,15.85,6.88,48.15,39.64
11.85,15.79,6.76,48.6,39.75
11.86,15.94,6.96,48.95,39.54
11.93,15.77,6.93,48.52,39.57
11.86,16.13,6.93,48.45,39.48
11.92,15.99,6.87,48.33,39.61
11.73,15.87,6.94,48.59,39.69
11.86,16.3,6.76,48.62,39.95
11.94,16.49,6.93,49.2,39.87
11.78,16.39,6.95,48.82,39.64
11.91,16.63,6.85,48.75,39.79
11.9,15.86,6.94,48.5,39.59
11.92,15.98,6.83,48.77,39.59
11.9,16.0,6.88,48.48,39.65
11.8,15.88,6.78,48.47,39.71
11.88,16.09,6.96,48.85,39.62
11.93,16.06,6.82,48.49,39.59
12.04,16.07,6.87,48.46,39.59
11.88,15.98,6.75,48.45,39.79
12.09,15.85,6.91,48.39,39.58
11.81,15.83,6.83,48.31,39.91
11.85,15.93,6.86,48.76,39.81
11.93,15.96,6.79,48.46,40.22
11.86,15.86,6.92,48.41,39.75
11.71,16.05,6.96,48.39,39.96
11.9,16.0,6.79,48.72,39.89
12.0,16.0,6.96,48.62,40.06
11.78,15.92,6.79,49.01,39.87
12.04,16.02,7.02,48.96,39.88
11.9,16.02,6.78,48.81,39.87
11.89,16.02,6.8,48.9,39.84
12.01,16.12,6.85,48.51,40.15
12.1,15.88,6.79,48.4,39.82
11.98,15.8,6.93,48.32,39.9
11.91,15.79,6.81,48.56,39.8
